Handle,Max Rating,Result
tourist,3979,N/A
Radewoosh,3752,N/A
Benq,3813,N/A
jiangly,3859,N/A
orzdevinwang,3697,N/A
cnnfls_csy,3691,N/A
maroonrk,3650,N/A
amiya,3681,N/A
Um_nik,3663,N/A
ecnerwala,3668,N/A
zh0ukangyang,3423,No
Geothermal,3292,N/A
heno239,3385,N/A
maspy,3177,No
QAQAutoMaton,3428,N/A
p_b_p_b,3137,N/A
hos.lyric,3315,N/A
Ormlis,3410,N/A
isaf27,3143,N/A
neal,3147,N/A
Qingyu,3065,N/A
yosupo,3369,N/A
244mhq,3278,N/A
flowerletter,3056,N/A
ugly2333,3264,N/A
gamegame,3339,N/A
A_G,3279,No
sjcsjcsjc,3011,N/A
998batrr,3020,N/A
turmax,3200,N/A
Kubic,3004,N/A
gisp_zjz,3213,N/A
fsy_jiaxun_when,3032,N/A
ksun48,3654,N/A
Maksim1744,3376,N/A
Endagorion,3313,N/A
ChemicalEquilibrium,2975,No
kotatsugame,3095,N/A
noimi,3353,N/A
SSRS_,3181,N/A
potato167,3029,N/A
Crystally,2953,N/A
A.K.E.E.,2948,N/A
Chtholly-Nota-Seniorious,2945,No
dlalswp25,2972,N/A
Merkurev,3148,N/A
hehezhoutxdy,2913,No
peti1234,3093,N/A
jiangly_fan,3069,N/A
Swistakk,3105,N/A
alireza_kaviani,2898,No
dXqwq,2885,N/A
Alex_Wei,2998,N/A
K-H,2918,No
DoorhandleMahoushoujo,2921,No
MagicSpark,2874,N/A
Vercingetorix,3213,N/A
ainta,3318,N/A
The_Noble_Brahman_Bison,2866,N/A
Golovanov399,3303,N/A
youbot,2859,N/A
tute7627,3044,N/A
1004535809,2871,N/A
feecIe6418,2987,N/A
FastFreeTask,2927,Yes
EternalAlexander,2834,N/A
yuto1115,3043,N/A
hank55663,3064,N/A
xukai,2821,Yes
Melusine,2813,No
20333333333,2812,No
i_will_be_less_than_blue,2855,N/A
antontrygubO_o,3095,N/A
E869120,2909,N/A
Kapt,2882,N/A
crazy_sea,2823,No
275307894a,2833,N/A
tokusakurai,2898,Yes
353cerega,3048,N/A
qiuzx,2786,N/A
PinkieRabbit,2954,N/A
Sol1,2865,N/A
Amoo_Safar,2982,N/A
Egor,3235,N/A
Rubikun,3033,N/A
Sana,2917,N/A
jeroenodb,2844,No
ppavic,2750,N/A
kdh9949,2881,N/A
BalintR,2799,N/A
m_99,2959,N/A
LeoPro,2770,N/A
PetelgeuseRomaneeconti,2749,No
peltorator,2887,N/A
tkacper,2740,No
YocyCraft,2739,Yes
kmjp,2901,N/A
sansen,2824,N/A
blackbori,2955,N/A
Roundgod,2768,N/A
antekb,2807,N/A
hitonanode,3182,N/A
nok0,2722,No
QwertyPi,2839,N/A
elycx,2880,Yes
Licha06,2716,N/A
Nyaan,2949,N/A
nantf,2906,N/A
Pointy,2708,No
TadijaSebez,3035,N/A
CharlieV,2715,N/A
thenymphsofdelphi,2752,N/A
foammm,2703,N/A
shiomusubi496,2701,No
Kite_kuma,2699,N/A
Farhod_Farmon,2976,N/A
RDDCCD,2696,N/A
Lynkcat,2694,No
qwerty787788,3038,N/A
grass8sheep,2689,No
risujiroh,2857,N/A
Nachia,2764,N/A
BigBag,2864,N/A
Morphymorphymorphy,2688,N/A
soltanbh,2716,N/A
cljq_cpp,2673,No
jacynkaa,2754,N/A
AndreySergunin,2997,N/A
_Diu_,2703,No
Potassium,2724,N/A
kevinxiehk,2706,N/A
AmirAli-Asgari,2660,Yes
Pyqe,2994,N/A
AlternatingCurrent,2852,N/A
chinerist,2698,N/A
dingdingsb,2655,No
paul2008,2655,Yes
AmazingTalker_Frank,2650,No
Isoeasy,2771,N/A
StarSilk,2649,Yes
JCY_,2648,No
KroosTheKeenGlint,2710,No
newbie__wrz,2643,No
milisav,2682,N/A
Alon-Tanay,2639,No
_Peter_,2765,N/A
Keshi,2638,N/A
-14,2785,N/A
Toxel,2901,N/A
Brovko,2894,N/A
forever_lose,2705,No
_su1sen,2722,No
wygzgyw,2625,N/A
jiangbowen,2631,No
ooOAM,2617,N/A
Snow-Flower,2768,N/A
Denisov,2613,N/A
SomethingNew,2888,N/A
Salley-Garden,2611,N/A
cabbit,2938,N/A
Temotoloraia,2867,N/A
le0n,2680,No
fengzhengwei,2773,N/A
KLPP,2635,N/A
fengqiyuka,2607,No
tfg,2841,N/A
_Guoyh_,2601,N/A
emthrm,2771,N/A
umbrella-leaf,2600,No
Karuna,2655,N/A
ofrankel,2596,No
Adam_GS,2719,No
alvingogo,2747,No
rniya,2645,N/A
natofp,2646,N/A
zidder,2586,N/A
se1ka2,2675,N/A
GeZhiyuan,2582,No
jdurie,2705,N/A
Xylenox,2761,N/A
maxplus,2637,N/A
xuanxuan001,2577,No
fallleaves07,2754,No
GoatMessi30,2574,No
natsugiri,2960,N/A
Xellos,2865,N/A
Sulfox,2833,N/A
Rafi22,2567,N/A
S2speed,2866,No
nvmdava,2563,N/A
namelessgugugu,2562,N/A
TheScrasse,2689,N/A
BucketPotato,2592,N/A
do_while_true,2560,Yes
dog_of_Nesraychan,2599,Yes
icecuber,2852,N/A
LogHorizon,2673,N/A
xiachong,2557,No
kizen,2595,N/A
felys,2671,No
lmlmlm,2553,No
Dominater069,2552,N/A
yuanhaowei,2551,Yes
Sert,2653,N/A
Andreasyan,2686,N/A
JoesSR_,2628,N/A
cqbzdj,2547,Yes
platter,2595,N/A
bashkort,2582,N/A
Iztrx,2660,No
riano_,2565,Yes
physics0523,2700,N/A
pooty,2571,No
stkwill,2808,No
Ronnie007,2542,N/A
tiger2005,2538,N/A
Rewenix,2534,N/A
reedef,2549,N/A
bilibilitdasc,2642,Yes
KrK,2810,N/A
TheLuminousSky,2529,Yes
cxm1024,2529,No
yangster67,2568,No
sevlll777,2549,N/A
maomao90,2565,Yes
AI_COre,2521,N/A
fastmath,2729,N/A
Peti,2520,N/A
Ra16bit,2742,N/A
bthero,2625,No
gabrielwu,2818,N/A
chen_zexing,2575,N/A
triple__a,2624,N/A
Alfalfa_w,2516,N/A
PEIMUDA,2665,No
dengtingyu,2512,No
AliShahali1382,2916,N/A
lightseba,2509,N/A
Sorting,2570,N/A
JeanBombeur,2566,No
amano_hina,2506,No
CJ-zhuyifan,2554,Yes
Tony2_CF,2557,No
mtsd,2879,N/A
Kude,2646,No
SegmentMaster,2539,Yes
jtnydv25,2675,N/A
Never_Lose,2500,Yes
yyyyxh,2499,No
10circle,2498,No
zihouzhong,3109,N/A
TeaPot,2849,N/A
Warriors_fsy,2602,N/A
H_stove,2512,No
by_chance,2495,Yes
APJifengc2,2493,No
_Serge_,2492,N/A
chenxiaoyan,2866,N/A
0wuming0,2647,N/A
PEKKA_c,2490,No
PEKKA_l,2490,No
leaf1415,2727,N/A
Leilaqwq,2504,No
lambert0704,2489,N/A
mraron,2489,N/A
L7-56,2524,Yes
Otomochi_Una,2504,No
kyo20111,2487,N/A
AFewSun,2486,No
windva,2630,Yes
vgtcross,2508,Yes
A_zjzj,2522,No
OIerkzc_love_10circle,2483,No
no_dream,2481,Yes
al3xstr33t,2625,N/A
olmrgcsi,2604,N/A
AmShZ,2603,N/A
iakovlev.zakhar,2662,N/A
cxaphoenix,2532,N/A
JovanB,2641,N/A
Kazumin,2495,No
ThreeIsFeewo,2571,No
asdsasd,2788,N/A
rama_pang,2866,N/A
andrei_boaca,2472,N/A
W4P3R,2578,N/A
fuyutsuki,2494,N/A
Enchom,2630,N/A
RobeZH,2716,N/A
siganai,2490,No
zltzlt,2464,No
Barichek,2768,N/A
Dorost,2602,No
SingerInTheLastPhase,2463,No
zhouhuanyi,2463,N/A
KevinYao,2462,No
Omer223,2461,N/A
amongussssiuuu,2459,No
busamate,2459,N/A
khuepr123,2680,No
Jacob,2621,N/A
filibuster,2556,N/A
zhylj,2615,N/A
H8_8Q,2525,No
yaoxi,2597,N/A
BARBARIANNNNN,2452,No
TKT_YI,2500,No
zhangjianjuncd,2452,No
Kratrissa,2525,No
GusterGoose27,2448,No
anpoli99,2624,No
ALILILILILI-KHAN,2590,N/A
DeadlyPillow,2506,N/A
ExplodingKonjac,2445,Yes
N_z__,2460,No
hyforces,2492,N/A
VladProg,2605,N/A
atodo,2543,N/A
est_stella,2668,N/A
installb,2472,N/A
Kaitokid,2520,N/A
irkstepanov,2691,N/A
torisasami,2654,N/A
Anonymous_Noob,2563,N/A
Elizabeth_Liones,2442,No
feeder1,2653,N/A
flashmt,2598,N/A
hokarikanae,2440,No
sbzhangjianjun,2447,No
xianboyu,2580,No
leinad2,2542,No
pzrpzr,2440,No
haruki_K,2685,N/A
locsey,2436,No
LuCpp,2462,No
Fido_Puppy,2429,No
qq_orange,2429,No
scanhex,2802,N/A
Door_Dark_We,2427,N/A
magnus.hegdahl,2427,N/A
relyt871,2448,No
ymjer,2565,No
ace5,2547,N/A
WH6BNNS,2572,Yes
EMBailey,2427,No
Daniel777,2420,Yes
EasonTAO,2420,N/A
Flew,2418,Yes
uwu,2567,N/A
cuom1999,2506,N/A
dogEW,2412,No
mumu.,2413,N/A
ttttan,2534,N/A
Rafbill,2988,N/A
znstz_2210QaQ,2459,No
EnAnimant,2726,N/A
Cocoly1990,2408,No
jucason_xu,2429,No
Marckess,2681,N/A
Valera_Grinenko,2403,N/A
dsgrekova2,2531,No
fuppy,2675,N/A
Timsei,2497,N/A
Misericorde,2559,N/A
cryozwq,2403,No
ytkn,2572,N/A
w0nsh,2638,N/A
Legitimity,2501,Yes
Redpojoe,2393,N/A
Forested,2644,Yes
sangonomiya_kokomi,2404,No
Be_dos,2527,N/A
_Eclipse_,2390,No
DeMen100ns,2390,Yes
TeasingMaster,2440,No
ialakhtin,2438,N/A
JJLeo,2617,N/A
Lou_Sassle,2388,No
valeriu,2388,N/A
Nero,2550,N/A
Septimelon,2666,N/A
Unlimited_zero,2393,N/A
Flamire,2569,N/A
hydro-bot3,2386,No
wdnmdwrnmmp,2386,Yes
Tutis,2590,N/A
Yellow_Submarine01,2384,No
Purslane,2382,No
TsumikiMikan,2382,No
limanjun,2449,N/A
toam,2568,No
DitaMirika,2398,No
MateoCV,2522,N/A
bkdn23.baojiaopisu,2514,No
red_tree,2379,No
Misono_Mika,2378,No
-is-this-fft-,2645,N/A
Natsuzora,2387,No
Akulyat,2702,N/A
Tlatoani,2892,N/A
Everule,2610,N/A
aibark,2550,N/A
2077nirundong,2373,No
MrBrionix,2464,N/A
hhhgjyismine,2473,No
ggawryal,2381,N/A
2018LZY,2444,N/A
IceYukino,2443,No
KumaTachiRen,2414,No
MridulAhi,2562,Yes
minato,2526,N/A
tengrist,2367,No
FelixMP,2370,N/A
antonis.white,2382,No
sephrys,2465,N/A
Faruzan,2365,No
forxen,2365,N/A
SeiunSky,2415,N/A
CFM_LOVE_ETK,2362,No
lichenghan,2360,N/A
DylanSmith,2391,N/A
SmolBrain,2389,Yes
XZC__Bobby,2366,Yes
yogahmad77,2532,N/A
BraveXuZhiJieGoGoGo,2356,No
Trump_Constructs_China,2494,No
arnold518,2505,N/A
EnEm,2690,N/A
Theo830,2385,No
queen,2352,N/A
foolishgoat,2460,No
zyxoi,2350,N/A
induk_v_tsiane,2349,No
fzw,2348,N/A
mickey080929,2405,No
Leasier,2434,N/A
lebarelue,2347,No
wangyian2022,2346,Yes
Zeardoe,2346,N/A
using233,2344,N/A
Onjo,2425,N/A
cai_lw,2371,N/A
ZCKevin,2514,N/A
happy.potato,2395,N/A
darnley,2579,N/A
IceKnight1093,2380,N/A
Zhouershan,2339,Yes
chro4896,2439,No
juliany2,2471,N/A
OdtreePrince,2427,N/A
panyaoyu1999,2338,No
MiracleMaMa,2337,No
Zan,2337,No
noya2,2487,N/A
RGB_ICPC3,2402,N/A
HuaJun,2531,N/A
Aleks5d,2683,No
hxhhxh,2331,N/A
zlxFTH,2331,No
darkkcyan,2546,N/A
Elibay,2377,N/A
liqingyang,2328,No
D_F_S,2327,No
hypergraph_coloring,2463,N/A
Mitsushima_Hikari,2326,No
chaeyihwan,2634,No
bronze_coder,2337,N/A
Dalembert,2571,No
Mapakaka,2319,Yes
Retired_Isaunoya,2319,N/A
czjxyz,2339,N/A
HOLlC,2376,N/A
dimss,2317,Yes
..vince,2489,N/A
cebolinha,2316,No
slenbol,2391,Yes
wrhaco,2316,N/A
Bucketsmith,2358,N/A
gubeiqg,2315,N/A
PolarFlea,2600,N/A
_LeMur_,2437,N/A
maximumSHOT,2640,N/A
phoenix0423,2314,No
trainwithoutpain,2484,No
wh2005,2401,N/A
zwh2008,2337,No
HappyPacMan,2350,No
becaido,2352,No
i8d,2400,Yes
libobil,2311,N/A
aymanriadsolh,2310,N/A
dancho,2434,N/A
isaachew,2310,No
yydtq,2360,N/A
JavierN,2354,N/A
SGColin,2309,N/A
UnstoppableChillMachine,2540,N/A
t0mmyn,2309,No
cmk666,2361,No
1021839,2348,N/A
